filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
debug/moc_diagramscene.cpp,78,27,0.34600000000000003,58,11,0.19,8,6,0.75
debug/moc_findreplacedialog.cpp,47,25,0.532,33,10,0.303,7,6,0.857
debug/moc_mainwindow.cpp,107,15,0.14,108,7,0.065,4,3,0.75
debug/qrc_diagramscene.cpp,11,5,0.455,0,0,,4,2,0.5
tests/arrow.cpp,57,44,0.772,102,45,0.441,5,4,0.8
tests/arrow.h,4,2,0.5,0,0,,4,2,0.5
tests/deletecommand.cpp,12,12,1.0,4,2,0.5,3,3,1.0
tests/diagramitem.cpp,538,497,0.924,713,359,0.504,27,27,1.0
tests/diagramitem.h,3,0,0.0,0,0,,3,0,0.0
tests/diagramitemgroup.cpp,168,0,0.0,365,0,0.0,8,0,0.0
tests/diagrampath.cpp,80,78,0.975,123,75,0.61,7,7,1.0
tests/diagrampath.h,1,1,1.0,0,0,,1,1,1.0
tests/diagramscene.cpp,377,247,0.655,635,264,0.41600000000000004,19,10,0.526
tests/diagramtextitem.cpp,23,15,0.652,14,6,0.429,5,3,0.6
tests/findreplacedialog.cpp,35,35,1.0,122,50,0.41,5,5,1.0
tests/mainwindow.cpp,1246,744,0.597,3468,1096,0.316,57,25,0.439
tests/mainwindow.h,1,1,1.0,0,0,,1,1,1.0
